movie-name,movie-link
Bullet Train,https://resizing.flixster.com/qzVpzakJusxSP4Nvw1zPzbj4zc4=/180x258/v2/https://resizing.flixster.com/0Wuqfdlk2B3QUnrB7wPlQ7c47AI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI3OTIwZDU1LTEwNmQtNGYwZS1iNjhlLTIwNmU0MjdiYmY2MS5qcGc=
Knives Out,https://resizing.flixster.com/Iu3qp_DzJPCc7IpQwVtHYadPUQY=/180x258/v2/https://resizing.flixster.com/9siv752L7VqwwTJVHg1KENr6wlU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhmNTdjMmU2LTczODctNDUzOS05ODhjLWU0MDRhY2M4ZjMxMy53ZWJw
Amsterdam,https://resizing.flixster.com/02Phe7ULfOZE52ZuVkRc4p8RS9k=/180x258/v2/https://resizing.flixster.com/DFCWBFU_12mF8KKc2hXVJVfoqFs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IzMDFmOGM4LTFmYWEtNDA5OC05MzVhLWVkMDkxYjM3ZWI0NS5qcGc=
Strange World,https://resizing.flixster.com/-wAmmAKXm3ZjojjOTtjcZ76HwEE=/180x258/v2/https://resizing.flixster.com/2xMkNqbnCcVFU3sEAhAblUFRJa8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzk5ZjM1MDZlLWU4ZWEtNDRjMi05Y2ViLTk4ZmY1YmQ3NjU2MS5qcGc=
Aftersun,https://resizing.flixster.com/BvnA4LfxGe8DSkd6PpUkdiPNxlM=/180x258/v2/https://resizing.flixster.com/dLAtEC7GySsgPdWZKx-cPCV6KBY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q3NWQwM2U2LWJkNTctNDNjOC04ODhiLTNlYjI1MGI0YmI4ZS5qcGc=
The Old Way,https://resizing.flixster.com/Cs3j11UYdADVSuHxyExYUb3uOrM=/180x258/v2/https://resizing.flixster.com/LtlkxklT_aql6vLllzIOmaWGUGI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NjYzEwMzA2LWMyZTAtNDU5OC04Zjk2LTFiYWM5NjY3NWMwOS5qcGc=
Avatar,https://resizing.flixster.com/pKjszAQ5z07ondE2foX8gAiQtBg=/180x258/v2/https://resizing.flixster.com/f0bXqQUdQ0m6fyqZjI1OXSEia9E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEzYmY3ZmZiLWMzYjEtNDQxMy05NTAxLTc2YTRlNmE3NWY2MC5qcGc=
Black Adam,https://resizing.flixster.com/cYstXKYbG-gxt4Upte7edh1bSPA=/180x258/v2/https://resizing.flixster.com/TX2lzGvmmae21WwTHTBu48lySbM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzYxNTg1OWIzLTFjZTAtNDRjMC1iNTM4LTlkY2FkNGVkY2MwMS5qcGc=
Guillermo del Toro's Pinocchio,https://resizing.flixster.com/4nWFJLNFCGRYpJ06c2OhlkaHIso=/180x258/v2/https://resizing.flixster.com/21j7kYKcSY89f0BqEBs-MUCmfkk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FiZWNkNjYzLTRkYTAtNGI2My05NmUzLWNkZmM0ZjI2NDk4Zi5qcGc=
Devotion,https://resizing.flixster.com/IOXq6IJZjoPsv6EDNWD1MBbYakU=/180x258/v2/https://resizing.flixster.com/bewkINYSfH_9LYdcxDC2LNLEbQA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I3NTc0OTI3LTgzNDQtNGE1MS1iMDMzLTk5OWQ2MjU0NmUzNC5qcGc=
Don't Worry Darling,https://resizing.flixster.com/sZ71hlmo_3UXSHafXGiO6Y0K7eM=/180x258/v2/https://resizing.flixster.com/dX60R1nXMJfzdK6j2at14tigHPc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JiMmM0MTExLWYwMTUtNDBhYy1hZmY5LTQ3Yjc1ODM1ZDA4OS5qcGc=
She Said,https://resizing.flixster.com/fbxPKwbalbCg9ZUvnU7QF9I3_FU=/180x258/v2/https://resizing.flixster.com/Iph412fBRqDz1ImxKUQwn9iX4jg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RjYTA4MTI3LTk1ZTktNDdjYi1hNzUyLTcxY2Y3NjJiOTFhYy5qcGc=
Jurassic World Dominion,https://resizing.flixster.com/9nZwz80WkN_n6uRl4HOhDu7UrY8=/180x258/v2/https://resizing.flixster.com/2VPIaCRTElZ2Iwa0u5vdO8Tq_Kw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M5MjdhYzIwLTlhOWYtNDFiYS05YTM0LTkzNTUxNThlZWFkZi5qcGc=
Barbarian,https://resizing.flixster.com/dmwr8LUltpSD7LvW3OQUM90Jlok=/180x258/v2/https://resizing.flixster.com/Ym6ucXdlZjGTqRWEMVr0r3H16Ro=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA3ZGY2MjgxLTI1NjEtNGFhMC1iYzQ0LTllOGFhYTczNzYxNy5qcGc=
Utama,https://resizing.flixster.com/wcqPTecjXneQ2NdfCfnMbkjiXB0=/180x258/v2/https://resizing.flixster.com/pEhRPQOLczjpkKTPBndW5JVC1ug=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBkMmNiMjY3LWM1MzEtNDQ5MS1hODYzLWNhNjQ1YzlhM2ZlNS5qcGc=
Top Gun: Maverick,https://resizing.flixster.com/muQdl8QOTaRQCfedkh-NQYfaGxs=/180x258/v2/https://resizing.flixster.com/TIM4kfHTVZrfpF0tYt9LIU69A5s=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU1OWIwMWQwLWYyZDItNDk4Yi04MDIxLWI3OTJlNDI1NjA3NS5qcGc=
Candy Land,https://resizing.flixster.com/BpftJ6uhXx0724U62c0BGHGHGTc=/180x258/v2/https://resizing.flixster.com/2tNDEFeFyvDNJ-pAk4npybkkR_Q=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA1NDBiYmU0LWVjODItNDM3ZS05NmIyLTQ1ZDUzNTQxYTViNC5qcGc=
Nope,https://resizing.flixster.com/l1ZLcJex3o9HyCsxa2r8kZu-h0s=/180x258/v2/https://resizing.flixster.com/6EeYrywKueOFue9uRSQqLxfGKI0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA0NzZhZTk0LTI3NjctNGZiNi04Yjg4LWRiN2RkNTJiYWZlNy5qcGc=
The Kings of the World,https://resizing.flixster.com/iIfWWCPydHO8qHuvnJqBO4oloqA=/180x258/v2/https://resizing.flixster.com/r82DtcvTizYxte88ohebNZqYWz8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdlMTIyZDg5LTViZjEtNDE1MC1hMGJlLTMwMjBhNjY1ZTdhMC5qcGc=
Violent Night,https://resizing.flixster.com/dQ-UpvAcf0wjFf86LzWf2jhH2VY=/180x258/v2/https://resizing.flixster.com/nifeYuz3wPgP583Gtef3bTSwfI0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRjMjhmYTMwLWViM2EtNDZjYy1iMWRmLTAxNmQ3MzZiMTUyNS5qcGc=
